epoch,pressure,dpdt
1451635200.0,1.3684001574129446e-39,0.0
1452414970.8542714,1.3684001574129446e-39,0.0
1453194741.7085428,1.3684001574129446e-39,0.0
1453974512.562814,1.3684001574129446e-39,0.0
1454754283.4170854,1.3684001574129446e-39,0.0
1455534054.2713568,6.7872627042139875e-37,8.686627187379081e-43
1456313825.1256282,1.5516270776996389e-30,1.989849185147025e-36
1457093595.9798994,5.542953900576187e-26,7.10824046257678e-32
1457873366.8341708,1.4655646480861232e-22,1.8787703396081857e-28
1458653137.6884422,6.817224764989534e-20,8.723805309272214e-26
1459432908.5427136,9.383000690963607e-18,1.1945597084437238e-23
1460212679.3969848,5.321139452058476e-16,6.703648150628349e-22
1460992450.2512562,1.5507259127147553e-14,1.920454592514093e-20
1461772221.1055276,2.7064705526259786e-13,3.271984259707208e-19
1462551991.959799,3.155913093973481e-12,3.700146040219425e-18
1463331762.8140705,2.6642342284247127e-11,3.011965510331682e-17
1464111533.6683416,1.7295003715077576e-10,1.8762908880875998e-16
1464891304.522613,9.040717629859509e-10,9.376109940891641e-16
1465671075.3768845,3.944699025227053e-09,3.899385627951109e-15
1466450846.2311559,1.4780049768709137e-08,1.3895557501448578e-14
1467230617.085427,4.864688779396233e-08,4.343178234958195e-14
1468010387.9396985,1.432662859843441e-07,1.2134256836104821e-13
1468790158.7939699,3.8325306207652364e-07,3.07765768337692e-13
1469569929.6482413,9.429451488637265e-07,7.177648199100205e-13
1470349700.5025125,2.156014914170311e-06,1.5556746686055631e-12
1471129471.3567839,4.621311784535153e-06,3.1615658072631113e-12
1471909242.2110553,9.354647501811748e-06,6.070162396232727e-12
1472689013.0653267,1.799549203677382e-05,1.1081261229025732e-11
1473468783.919598,3.307577204447197e-05,1.933937377255346e-11
1474248554.7738693,5.835528574206495e-05,3.241915693453421e-11
1475028325.6281407,9.922493739368917e-05,5.2412386828450087e-11
1475808096.482412,0.00016317542237710245,8.201189443425167e-11
1476587867.3366835,0.0002603255915645755,1.2458810002362352e-10
1477367638.1909547,0.000404001942694438,1.8425457984596275e-10
1478147409.045226,0.0006113589592451013,2.659204501101927e-10
1478927179.8994975,0.0009040297189199163,3.7532918558269965e-10
1479706950.753769,0.001308797597194605,5.190856724862951e-10
1480486721.60804,0.0018582831197234073,7.046756358217423e-10
1481266492.4623115,0.002591645000064366,9.404838310174906e-10
1482046263.316583,0.0035553008423828856,1.235819262851165e-09
1482826034.1708543,0.004803680373349817,1.6009569017982458e-09
1483605805.0251257,0.00640003168171713,2.0472056625646562e-09
1484385575.879397,0.008417307954318788,2.587011634959273e-09
1485165346.7336683,0.010939167748268717,3.2341036858914906e-09
1485945117.5879397,0.014061125168920604,4.003685702729841e-09
1486724888.4422112,0.01789188687113309,4.912676180737483e-09
1487504659.2964823,0.022554910290465694,5.979991934542081e-09
1488284430.1507537,0.028190211991351265,7.226868855147171e-09
1489064201.0050251,0.0349564468666568,8.67720925736272e-09
1489843971.8592966,0.04303326879141554,1.0357942824505044e-08
1490623742.7135677,0.05262397206740957,1.2299386702466779e-08
1491403513.5678391,0.06395840151625448,1.4535590022065354e-08
1492183284.4221106,0.07729610826384192,1.7104648980564535e-08
1492963055.276382,0.09292971883829737,2.004898040086776e-08
1493742826.1306534,0.11118847769569588,2.3415544140154865e-08
1494522596.9849246,0.13244191801650376,2.7256007587860898e-08
1495302367.839196,0.15710361286795782,3.162684872916545e-08
1496082138.6934674,0.18563495921038928,3.6589398265071164e-08
1496861909.5477388,0.21854895210339426,4.220982704432901e-08
1497641680.40201,0.2564139180802848,4.855909369975324e-08
1498421451.2562814,0.29985719747223,5.571287917979051e-08
1499201222.1105528,0.3495687967242822,6.375154826542065e-08
1499980992.9648242,0.4063050719318753,7.276018960801674e-08
1500760763.8190954,0.4708925489903709,8.282879092584632e-08
1501540534.6733668,0.5442320263997831,9.405260148885375e-08
1502320305.5276382,0.6273031359880339,1.0653271936647246e-07
1503100076.3819096,0.7211695486518631,1.2037691861609065e-07
1503879847.236181,0.826985004192668,1.3570070612561527e-07
1504659618.0904522,0.9460003176557604,1.5262857390884687e-07
1505439388.9447236,1.0795714731892594,1.7129539377090819e-07
1506219159.798995,1.229168865468613,1.918478889790408e-07
1506998930.6532664,1.396387693157771,2.14446111666229e-07
1507778701.5075376,1.5829594525994706,2.392648537961606e-07
1508558472.361809,1.7907644255530974,2.6649492195728695e-07
1509338243.2160804,2.021845003924072,2.96344210744947e-07
1510118014.0703518,2.2784196482150088,3.2903851546320007e-07
1510897784.924623,2.562897236082487,3.6482203240767454e-07
1511677555.7788944,2.877891524426716,4.0395750446270215e-07
1512457326.6331658,3.226235424612908,4.467259814572979e-07
1513237097.4874372,3.610994777419334,4.934261785995202e-07
1514016868.3417087,4.035481313376694,5.44373431800018e-07
1514796639.1959798,4.5032644958479064,5.998982648670986e-07
1515576410.0502512,5.0181819681449005,6.603445992837386e-07
1516356180.9045227,5.584348361044782,7.260676515396125e-07
1517135951.758794,6.206162261654469,7.97431575191004e-07
1517915722.6130652,6.888311197058233,8.748069149639435e-07
1518695493.4673367,7.6357745453816435,9.585679488133882e-07
1519475264.321608,8.453824352081849,1.0490900015294366e-06
1520255035.1758795,9.348024099949887,1.1467468205176049e-06
1521034806.0301507,10.32422555664132,1.2519081103689835e-06
1521814576.884422,11.38856390173808,1.3649373264806577e-06
1522594347.7386935,12.547451412849664,1.4861898271312093e-06
1523374118.592965,13.80757006154501,1.6160114754131861e-06
1524153889.447236,15.175863427599165,1.7547377650233603e-06
